Date,Timestamp,Open,High,Low,Close,Volume
20190408,20:00:00,1.30649,1.30692,1.30551,1.30551,2599.059992
20190408,21:00:00,1.30536,1.30675,1.30453,1.30633,3875.989992
20190408,22:00:00,1.30633,1.30665,1.30586,1.30596,2007.570002
20190408,23:00:00,1.30596,1.30634,1.30571,1.30603,2316.729996
20190409,00:00:00,1.30605,1.30675,1.30593,1.30623,2723.199998
20190409,01:00:00,1.30624,1.30727,1.30624,1.30709,2369.030002
20190409,02:00:00,1.30709,1.30784,1.30703,1.30767,2315.480005
20190409,03:00:00,1.30767,1.3081,1.30745,1.30779,2420.779998
20190409,04:00:00,1.3078,1.30787,1.30735,1.30741,1828.560006
20190409,05:00:00,1.30741,1.30947,1.30728,1.30921,4099.489999
20190409,06:00:00,1.30921,1.30936,1.30712,1.30825,8504.039998
20190409,07:00:00,1.30825,1.3086,1.30669,1.30682,16447.16
20190409,08:00:00,1.30682,1.3121,1.30562,1.31088,16989.76
20190409,09:00:00,1.31086,1.31144,1.30621,1.30892,11492.62001
20190409,10:00:00,1.30892,1.30922,1.30723,1.30862,10057.60999
20190409,11:00:00,1.30861,1.30884,1.30548,1.30576,9737.929993
20190409,12:00:00,1.30576,1.30812,1.30428,1.30563,16991.25
20190409,13:00:00,1.30564,1.3067,1.30515,1.3058,19009.69
20190409,14:00:00,1.30579,1.30642,1.3039,1.3046,18788.63998
20190409,15:00:00,1.30461,1.30606,1.30325,1.30464,18287.83998
20190409,16:00:00,1.30462,1.30467,1.30327,1.30346,8185.099982
20190409,17:00:00,1.30346,1.30458,1.30302,1.30387,5677.389981
20190409,18:00:00,1.30386,1.3043,1.30314,1.30427,4084.449992
20190409,19:00:00,1.30426,1.30622,1.30398,1.30521,8321.540004
20190409,20:00:00,1.3052,1.30594,1.30479,1.30479,3777.669987
20190409,21:00:00,1.30414,1.30562,1.30407,1.30537,3493.850002
20190409,22:00:00,1.30537,1.30581,1.30484,1.30551,1433.67
20190409,23:00:00,1.30553,1.3058,1.30541,1.30543,2921.71999
20190410,00:00:00,1.30544,1.30545,1.30474,1.30486,4294.039983
20190410,01:00:00,1.30486,1.30535,1.30477,1.30522,2804.899992
20190410,02:00:00,1.30523,1.30532,1.30483,1.30511,1665.119999
20190410,03:00:00,1.30514,1.30566,1.30511,1.30542,3196.589994
20190410,04:00:00,1.30543,1.30622,1.3053,1.30579,2892.759994
20190410,05:00:00,1.3058,1.30762,1.30578,1.30689,3490.869993
20190410,06:00:00,1.30688,1.30777,1.30635,1.30762,6475.920005
20190410,07:00:00,1.30762,1.30795,1.30543,1.3069,12079.27998
20190410,08:00:00,1.30691,1.3085,1.30641,1.30649,15159.15997
20190410,09:00:00,1.30648,1.30796,1.30632,1.30767,11705.54998
20190410,10:00:00,1.30767,1.3084,1.30721,1.30817,15412.22995
20190410,11:00:00,1.30817,1.31015,1.30798,1.30839,12888.32
20190410,12:00:00,1.30841,1.31084,1.30733,1.30752,18618.36998
20190410,13:00:00,1.3075,1.30839,1.30598,1.30694,16216.70999
20190410,14:00:00,1.30696,1.30938,1.30546,1.3089,14437.21997
20190410,15:00:00,1.3089,1.30991,1.30761,1.30975,11765.66
20190410,16:00:00,1.30975,1.31155,1.309,1.31119,8398.149974
20190410,17:00:00,1.31119,1.31198,1.31091,1.31124,7630.929976
20190410,18:00:00,1.31124,1.3115,1.30815,1.30822,9792.709955
20190410,19:00:00,1.30821,1.31021,1.30809,1.30922,6409.879979
20190410,20:00:00,1.30922,1.30929,1.30813,1.30851,3804.379986
20190410,21:00:00,1.30851,1.30869,1.30798,1.30854,3158.730006
